cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 50 percent training data.
Use multiple GPU to train the network.
Use 100 epochs
Epoch: 0
 [>................................................................] 1/79   Step: 1m1s | Tot: 0ms | Loss: 0.635 | Acc: 82.812% (212/256)              
 [==========================================================>......] 37/40   Step: 377ms | Tot: 15s608ms | Loss: 1.364 | Acc: 70.978% (6723/9472)              
 [============================================================>....] 38/40   Step: 372ms | Tot: 15s981ms | Loss: 1.357 | Acc: 71.073% (6914/9728)              
 [=============================================================>...] 39/40   Step: 373ms | Tot: 16s354ms | Loss: 1.363 | Acc: 71.034% (7092/9984)              
 [===============================================================>.] 40/40   Step: 501ms | Tot: 16s856ms | Loss: 1.363 | Acc: 71.030% (7103/10000)

Epoch: 49
 [>................................................................] 1/79   Step: 1s944ms | Tot: 0ms | Loss: 0.016 | Acc: 100.000% (256/256)              
 [>................................................................] 2/79   Step: 967ms | Tot: 967ms | Loss: 0.012 | Acc: 100.000% (512/512)              
 [=>...............................................................] 3/79   Step: 968ms | Tot: 1s935ms | Loss: 0.014 | Acc: 100.000% (768/768)              
 [==>..............................................................] 4/79   Step: 1s122ms | Tot: 3s58ms | Loss: 0.016 | Acc: 99.805% (1022/1024)              
 [===>.............................................................] 5/79   Step: 965ms | Tot: 4s24ms | Loss: 0.017 | Acc: 99.844% (1278/1280)              
 [====>............................................................] 6/79   Step: 965ms | Tot: 4s989ms | Loss: 0.017 | Acc: 99.870% (1534/1536)              
 [====>............................................................] 7/79   Step: 968ms | Tot: 5s958ms | Loss: 0.018 | Acc: 99.833% (1789/1792)              
 [=====>...........................................................] 8/79   Step: 966ms | Tot: 6s924ms | Loss: 0.017 | Acc: 99.854% (2045/2048)              
 [======>..........................................................] 9/79   Step: 1s84ms | Tot: 8s9ms | Loss: 0.017 | Acc: 99.826% (2300/2304)              
 [=======>.........................................................] 10/79   Step: 963ms | Tot: 8s972ms | Loss: 0.018 | Acc: 99.805% (2555/2560)              
 [========>........................................................] 11/79   Step: 966ms | Tot: 9s939ms | Loss: 0.018 | Acc: 99.787% (2810/2816)              
 [=========>.......................................................] 12/79   Step: 964ms | Tot: 10s903ms | Loss: 0.018 | Acc: 99.805% (3066/3072)              
 [=========>.......................................................] 13/79   Step: 963ms | Tot: 11s866ms | Loss: 0.018 | Acc: 99.820% (3322/3328)              
 [==========>......................................................] 14/79   Step: 1s69ms | Tot: 12s935ms | Loss: 0.018 | Acc: 99.805% (3577/3584)              
 [===========>.....................................................] 15/79   Step: 961ms | Tot: 13s897ms | Loss: 0.018 | Acc: 99.818% (3833/3840)              
 [============>....................................................] 16/79   Step: 963ms | Tot: 14s861ms | Loss: 0.018 | Acc: 99.829% (4089/4096)              
 [=============>...................................................] 17/79   Step: 963ms | Tot: 15s824ms | Loss: 0.018 | Acc: 99.839% (4345/4352)              
 [=============>...................................................] 18/79   Step: 1s64ms | Tot: 16s889ms | Loss: 0.018 | Acc: 99.848% (4601/4608)              
 [==============>..................................................] 19/79   Step: 965ms | Tot: 17s854ms | Loss: 0.019 | Acc: 99.815% (4855/4864)              
 [===============>.................................................] 20/79   Step: 977ms | Tot: 18s831ms | Loss: 0.019 | Acc: 99.805% (5110/5120)              
 [================>................................................] 21/79   Step: 960ms | Tot: 19s792ms | Loss: 0.019 | Acc: 99.814% (5366/5376)              
 [=================>...............................................] 22/79   Step: 963ms | Tot: 20s755ms | Loss: 0.019 | Acc: 99.805% (5621/5632)              
 [==================>..............................................] 23/79   Step: 1s64ms | Tot: 21s820ms | Loss: 0.019 | Acc: 99.813% (5877/5888)              
 [==================>..............................................] 24/79   Step: 964ms | Tot: 22s784ms | Loss: 0.019 | Acc: 99.821% (6133/6144)              
 [===================>.............................................] 25/79   Step: 963ms | Tot: 23s747ms | Loss: 0.019 | Acc: 99.812% (6388/6400)              
 [====================>............................................] 26/79   Step: 964ms | Tot: 24s712ms | Loss: 0.019 | Acc: 99.820% (6644/6656)              
 [=====================>...........................................] 27/79   Step: 965ms | Tot: 25s677ms | Loss: 0.019 | Acc: 99.826% (6900/6912)              
 [======================>..........................................] 28/79   Step: 1s67ms | Tot: 26s744ms | Loss: 0.020 | Acc: 99.791% (7153/7168)              
 [=======================>.........................................] 29/79   Step: 965ms | Tot: 27s710ms | Loss: 0.020 | Acc: 99.798% (7409/7424)              
 [=======================>.........................................] 30/79   Step: 981ms | Tot: 28s692ms | Loss: 0.020 | Acc: 99.805% (7665/7680)              
 [========================>........................................] 31/79   Step: 967ms | Tot: 29s659ms | Loss: 0.020 | Acc: 99.811% (7921/7936)              
 [=========================>.......................................] 32/79   Step: 1s70ms | Tot: 30s730ms | Loss: 0.020 | Acc: 99.817% (8177/8192)              
 [==========================>......................................] 33/79   Step: 964ms | Tot: 31s694ms | Loss: 0.021 | Acc: 99.811% (8432/8448)              
 [===========================>.....................................] 34/79   Step: 963ms | Tot: 32s658ms | Loss: 0.020 | Acc: 99.816% (8688/8704)              
 [===========================>.....................................] 35/79   Step: 965ms | Tot: 33s623ms | Loss: 0.021 | Acc: 99.799% (8942/8960)              
 [============================>....................................] 36/79   Step: 966ms | Tot: 34s590ms | Loss: 0.021 | Acc: 99.805% (9198/9216)              
 [=============================>...................................] 37/79   Step: 1s68ms | Tot: 35s659ms | Loss: 0.021 | Acc: 99.799% (9453/9472)              
 [==============================>..................................] 38/79   Step: 968ms | Tot: 36s627ms | Loss: 0.021 | Acc: 99.794% (9708/9728)              
 [===============================>.................................] 39/79   Step: 965ms | Tot: 37s593ms | Loss: 0.021 | Acc: 99.800% (9964/9984)              
 [================================>................................] 40/79   Step: 985ms | Tot: 38s578ms | Loss: 0.020 | Acc: 99.805% (10220/10240)              
 [================================>................................] 41/79   Step: 1s65ms | Tot: 39s644ms | Loss: 0.020 | Acc: 99.809% (10476/10496)              
 [=================================>...............................] 42/79   Step: 967ms | Tot: 40s612ms | Loss: 0.020 | Acc: 99.805% (10731/10752)              
 [==================================>..............................] 43/79   Step: 966ms | Tot: 41s579ms | Loss: 0.020 | Acc: 99.809% (10987/11008)              
 [===================================>.............................] 44/79   Step: 971ms | Tot: 42s551ms | Loss: 0.020 | Acc: 99.814% (11243/11264)              
 [====================================>............................] 45/79   Step: 966ms | Tot: 43s517ms | Loss: 0.020 | Acc: 99.800% (11497/11520)              
 [=====================================>...........................] 46/79   Step: 1s67ms | Tot: 44s584ms | Loss: 0.020 | Acc: 99.788% (11751/11776)              
 [=====================================>...........................] 47/79   Step: 968ms | Tot: 45s552ms | Loss: 0.020 | Acc: 99.784% (12006/12032)              
 [======================================>..........................] 48/79   Step: 966ms | Tot: 46s518ms | Loss: 0.020 | Acc: 99.788% (12262/12288)              
 [=======================================>.........................] 49/79   Step: 963ms | Tot: 47s482ms | Loss: 0.020 | Acc: 99.777% (12516/12544)              
 [========================================>........................] 50/79   Step: 980ms | Tot: 48s462ms | Loss: 0.020 | Acc: 99.781% (12772/12800)              
 [=========================================>.......................] 51/79   Step: 1s69ms | Tot: 49s532ms | Loss: 0.020 | Acc: 99.786% (13028/13056)              
 [=========================================>.......................] 52/79   Step: 964ms | Tot: 50s496ms | Loss: 0.020 | Acc: 99.790% (13284/13312)              
 [==========================================>......................] 53/79   Step: 964ms | Tot: 51s460ms | Loss: 0.020 | Acc: 99.794% (13540/13568)              
 [===========================================>.....................] 54/79   Step: 965ms | Tot: 52s426ms | Loss: 0.020 | Acc: 99.783% (13794/13824)              
 [============================================>....................] 55/79   Step: 1s64ms | Tot: 53s490ms | Loss: 0.020 | Acc: 99.787% (14050/14080)              
